1540330212 INTERNAL *** MONITORD_STARTED ***
1540330217 INTERNAL *** DAGMAN_STARTED 16094806.0 ***
1540330221 create_dir_blackdiamond_0_local SUBMIT 16094807.0 local - 1
1540330326 create_dir_blackdiamond_0_local EXECUTE 16094807.0 local - 1
1540330328 create_dir_blackdiamond_0_local JOB_TERMINATED 16094807.0 local - 1
1540330331 create_dir_blackdiamond_0_local JOB_SUCCESS 0 local - 1
1540330331 create_dir_blackdiamond_0_local POST_SCRIPT_STARTED 16094807.0 local - 1
1540330331 create_dir_blackdiamond_0_local POST_SCRIPT_TERMINATED 16094807.0 local - 1
1540330341 create_dir_blackdiamond_0_local POST_SCRIPT_SUCCESS 0 local - 1
1540330351 stage_in_local_local_1_0 SUBMIT 16094808.0 local - 2
1540330351 stage_in_remote_local_0_0 SUBMIT 16094809.0 local - 3
1540330395 stage_in_local_local_1_0 EXECUTE 16094808.0 local - 2
1540330395 stage_in_remote_local_0_0 EXECUTE 16094809.0 local - 3
1540330395 stage_in_local_local_1_0 JOB_TERMINATED 16094808.0 local - 2
1540330401 stage_in_local_local_1_0 JOB_FAILURE 1 local - 2
1540330401 stage_in_local_local_1_0 POST_SCRIPT_STARTED 16094808.0 local - 2
1540330397 stage_in_remote_local_0_0 JOB_TERMINATED 16094809.0 local - 3
1540330401 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 3
1540330401 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 16094809.0 local - 3
1540330401 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 16094808.0 local - 2
1540330411 stage_in_local_local_1_0 POST_SCRIPT_FAILURE 1 local - 2
1540330401 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 16094809.0 local - 3
1540330411 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1540330421 stage_in_local_local_1_0 SUBMIT 16094810.0 local - 4
1540330421 preprocess_j1 SUBMIT 16094811.0 local - 5
1540330440 preprocess_j1 EXECUTE 16094811.0 local - 5
1540330440 stage_in_local_local_1_0 EXECUTE 16094810.0 local - 4
1540330440 stage_in_local_local_1_0 JOB_TERMINATED 16094810.0 local - 4
1540330441 stage_in_local_local_1_0 JOB_FAILURE 1 local - 4
1540330441 stage_in_local_local_1_0 POST_SCRIPT_STARTED 16094810.0 local - 4
1540330441 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 16094810.0 local - 4
1540330451 stage_in_local_local_1_0 POST_SCRIPT_FAILURE 1 local - 4
1540330461 stage_in_local_local_1_0 SUBMIT 16094812.0 local - 6
1540330505 preprocess_j1 JOB_TERMINATED 16094811.0 local - 5
1540330512 preprocess_j1 JOB_SUCCESS 0 local - 5
1540330512 preprocess_j1 POST_SCRIPT_STARTED 16094811.0 local - 5
1540330505 stage_in_local_local_1_0 EXECUTE 16094812.0 local - 6
1540330505 stage_in_local_local_1_0 JOB_TERMINATED 16094812.0 local - 6
1540330512 stage_in_local_local_1_0 JOB_FAILURE 1 local - 6
1540330512 stage_in_local_local_1_0 POST_SCRIPT_STARTED 16094812.0 local - 6
1540330512 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 16094812.0 local - 6
1540330522 stage_in_local_local_1_0 POST_SCRIPT_FAILURE 1 local - 6
1540330512 preprocess_j1 POST_SCRIPT_TERMINATED 16094811.0 local - 5
1540330522 preprocess_j1 POST_SCRIPT_SUCCESS 0 local - 5
1540330532 clean_up_local_level_3_0 SUBMIT 16094813.0 local - 7
1540330532 stage_out_local_local_0_0 SUBMIT 16094814.0 local - 8
1540330532 stage_in_local_local_1_0 SUBMIT 16094815.0 local - 9
1540330550 stage_in_local_local_1_0 EXECUTE 16094815.0 local - 9
1540330550 stage_out_local_local_0_0 EXECUTE 16094814.0 local - 8
1540330554 stage_in_local_local_1_0 JOB_TERMINATED 16094815.0 local - 9
1540330562 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 9
1540330562 stage_in_local_local_1_0 POST_SCRIPT_STARTED 16094815.0 local - 9
1540330554 stage_out_local_local_0_0 JOB_TERMINATED 16094814.0 local - 8
1540330562 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1540330562 stage_out_local_local_0_0 POST_SCRIPT_STARTED 16094814.0 local - 8
1540330555 clean_up_local_level_3_0 EXECUTE 16094813.0 local - 7
1540330557 clean_up_local_level_3_0 JOB_TERMINATED 16094813.0 local - 7
1540330562 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1540330562 clean_up_local_level_3_0 POST_SCRIPT_STARTED 16094813.0 local - 7
1540330562 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 16094815.0 local - 9
1540330572 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1540330562 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 16094814.0 local - 8
1540330572 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1540330562 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 16094813.0 local - 7
1540330572 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1540330582 findrange_j3 SUBMIT 16094816.0 condorpool - 10
1540330582 findrange_j2 SUBMIT 16094817.0 condorpool - 11
1540330660 findrange_j3 EXECUTE 16094816.0 condorpool - 10
1540330660 findrange_j2 EXECUTE 16094817.0 condorpool - 11
1540330741 findrange_j2 JOB_TERMINATED 16094817.0 condorpool - 11
1540330742 findrange_j2 JOB_SUCCESS 0 condorpool - 11
1540330742 findrange_j2 POST_SCRIPT_STARTED 16094817.0 condorpool - 11
1540330741 findrange_j3 JOB_TERMINATED 16094816.0 condorpool - 10
1540330742 findrange_j3 JOB_SUCCESS 0 condorpool - 10
1540330742 findrange_j3 POST_SCRIPT_STARTED 16094816.0 condorpool - 10
1540330742 findrange_j2 POST_SCRIPT_TERMINATED 16094817.0 condorpool - 11
1540330752 findrange_j2 POST_SCRIPT_SUCCESS 0 condorpool - 11
1540330742 findrange_j3 POST_SCRIPT_TERMINATED 16094816.0 condorpool - 10
1540330752 findrange_j3 POST_SCRIPT_SUCCESS 0 condorpool - 10
1540330762 clean_up_local_level_4_0 SUBMIT 16094818.0 local - 12
1540330762 stage_out_local_local_1_0 SUBMIT 16094819.0 local - 13
1540330762 analyze_j4 SUBMIT 16094820.0 local - 14
1540330828 analyze_j4 EXECUTE 16094820.0 local - 14
1540330828 clean_up_local_level_4_0 EXECUTE 16094818.0 local - 12
1540330833 stage_out_local_local_1_0 EXECUTE 16094819.0 local - 13
1540330834 clean_up_local_level_4_0 JOB_TERMINATED 16094818.0 local - 12
1540330843 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 12
1540330843 clean_up_local_level_4_0 POST_SCRIPT_STARTED 16094818.0 local - 12
1540330837 stage_out_local_local_1_0 JOB_TERMINATED 16094819.0 local - 13
1540330843 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 13
1540330843 stage_out_local_local_1_0 POST_SCRIPT_STARTED 16094819.0 local - 13
1540330843 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 16094818.0 local - 12
1540330853 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 12
1540330843 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 16094819.0 local - 13
1540330853 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 13
1540330893 analyze_j4 JOB_TERMINATED 16094820.0 local - 14
1540330903 analyze_j4 JOB_SUCCESS 0 local - 14
1540330903 analyze_j4 POST_SCRIPT_STARTED 16094820.0 local - 14
1540330903 analyze_j4 POST_SCRIPT_TERMINATED 16094820.0 local - 14
1540330913 analyze_j4 POST_SCRIPT_SUCCESS 0 local - 14
1540330923 clean_up_local_level_5_0 SUBMIT 16094821.0 local - 15
1540330923 stage_out_local_local_2_0 SUBMIT 16094822.0 local - 16
1540330976 clean_up_local_level_5_0 EXECUTE 16094821.0 local - 15
1540330976 stage_out_local_local_2_0 EXECUTE 16094822.0 local - 16
1540330979 stage_out_local_local_2_0 JOB_TERMINATED 16094822.0 local - 16
1540330983 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 16
1540330983 stage_out_local_local_2_0 POST_SCRIPT_STARTED 16094822.0 local - 16
1540330980 clean_up_local_level_5_0 JOB_TERMINATED 16094821.0 local - 15
1540330983 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 15
1540330983 clean_up_local_level_5_0 POST_SCRIPT_STARTED 16094821.0 local - 15
1540330983 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 16094822.0 local - 16
1540330993 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 16
1540330983 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 16094821.0 local - 15
1540330993 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 15
1540331003 clean_up_local_level_6_0 SUBMIT 16094823.0 local - 17
1540331229 clean_up_local_level_6_0 EXECUTE 16094823.0 local - 17
1540331232 clean_up_local_level_6_0 JOB_TERMINATED 16094823.0 local - 17
1540331233 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 17
1540331233 clean_up_local_level_6_0 POST_SCRIPT_STARTED 16094823.0 local - 17
1540331233 clean_up_local_level_6_0 POST_SCRIPT_TERMINATED 16094823.0 local - 17
1540331243 clean_up_local_level_6_0 POST_SCRIPT_SUCCESS 0 local - 17
1540331253 cleanup_blackdiamond_0_local SUBMIT 16094824.0 local - 18
1540331303 cleanup_blackdiamond_0_local EXECUTE 16094824.0 local - 18
1540331306 cleanup_blackdiamond_0_local JOB_TERMINATED 16094824.0 local - 18
1540331314 cleanup_blackdiamond_0_local JOB_SUCCESS 0 local - 18
1540331314 INTERNAL *** DAGMAN_FINISHED 0 ***
1540331315 INTERNAL *** MONITORD_FINISHED 0 ***
